[17-Dec-2014 13:45:25 UTC] PHP Warning:  include(): Failed opening '__SITE_PATH/application/template.class.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/includes/init.php on line 13
[17-Dec-2014 13:45:25 UTC] PHP Notice:  Use of undefined constant __SITE_PATH - assumed '__SITE_PATH' in /home/ubuntu/workspace/includes/init.php on line 18
[17-Dec-2014 13:45:25 UTC] PHP Fatal error:  Class 'registry' not found in /home/ubuntu/workspace/includes/init.php on line 28
[17-Dec-2014 13:45:43 UTC] PHP Warning:  include(includes/init.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:45:43 UTC] PHP Warning:  include(): Failed opening 'includes/init.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:45:44 UTC] PHP Warning:  include(includes/init.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:45:44 UTC] PHP Warning:  include(): Failed opening 'includes/init.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:45:44 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 26
[17-Dec-2014 13:45:44 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 26
[17-Dec-2014 13:46:06 UTC] PHP Warning:  include(includes/init.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:46:06 UTC] PHP Warning:  include(): Failed opening 'includes/init.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:46:08 UTC] PHP Warning:  include(includes/init.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:46:08 UTC] PHP Warning:  include(): Failed opening 'includes/init.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:46:08 UTC] PHP Notice:  Undefined variable: user in /home/ubuntu/workspace/views/register.php on line 26
[17-Dec-2014 13:46:08 UTC] PHP Fatal error:  Call to a member function register() on a non-object in /home/ubuntu/workspace/views/register.php on line 26
[17-Dec-2014 13:46:16 UTC] PHP Warning:  include(includes/init.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/views/register.php on line 17
[17-Dec-2014 13:46:16 UTC] PHP Warning:  include(): Failed opening 'includes/init.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/ubuntu/workspace/views/register.php on line 17
